season,tournament,date,home_team,away_team,home_score,away_score,venue,espn_match_id
2019,Rugby World Cup,2019-10-20,Japan,South Africa,3,26,Ajinomoto Stadium,292933
2019,Rugby World Cup,2019-10-26,England,New Zealand,19,7,International Stadium Yokohama,292934
2019,Rugby World Cup,2019-10-27,Wales,South Africa,16,19,International Stadium Yokohama,292935
2019,Rugby World Cup,2019-11-01,New Zealand,Wales,40,17,Ajinomoto Stadium,292928
2019,Rugby World Cup,2019-11-02,England,South Africa,12,32,International Stadium Yokohama,292929
2019-20,Six Nations,2020-02-01,Wales,Italy,42,0,Principality Stadium,295492
2019-20,Six Nations,2020-02-01,Ireland,Scotland,19,12,Aviva Stadium,295493
2019-20,Six Nations,2020-02-02,France,England,24,17,Stade de France,295494
2019-20,Six Nations,2020-02-08,Ireland,Wales,24,14,Aviva Stadium,295495
2019-20,Six Nations,2020-02-08,Scotland,England,6,13,Scottish Gas Murrayfield,295496
2019-20,Six Nations,2020-02-09,France,Italy,35,22,Stade de France,295497
2019-20,Six Nations,2020-02-22,Italy,Scotland,0,17,Stadio Olimpico,295498
2019-20,Six Nations,2020-02-22,Wales,France,23,27,Principality Stadium,295499
2019-20,Six Nations,2020-02-23,England,Ireland,24,12,Allianz Stadium,295500
2019-20,Six Nations,2020-03-07,England,Wales,33,30,Allianz Stadium,295502
2019-20,Six Nations,2020-03-08,Scotland,France,28,17,Scottish Gas Murrayfield,295503
2020,International Test Match,2020-06-26,Japan,Wales,0,0,,600774
2020,International Test Match,2020-07-03,Japan,England,0,0,Showa Denko Dome Oita,600775
2020,International Test Match,2020-07-03,United States of America,Italy,0,0,,600776
2020,International Test Match,2020-07-03,South Africa,Scotland,0,0,DHL Newlands,600777
2020,International Test Match,2020-07-03,Argentina,France,0,0,,600778
2020,International Test Match,2020-07-03,Australia,Ireland,0,0,Suncorp Stadium,600779
2020,International Test Match,2020-07-04,New Zealand,Wales,0,0,Eden Park,600780
2020,International Test Match,2020-07-10,Japan,England,0,0,Kobe Misaki Stadium,600781
2020,International Test Match,2020-07-10,Canada,Italy,0,0,,600782
2020,International Test Match,2020-07-10,South Africa,Scotland,0,0,,600783
2020,International Test Match,2020-07-10,Argentina,France,0,0,,600784
2020,International Test Match,2020-07-10,Australia,Ireland,0,0,Sydney Cricket Ground,600785
2020,International Test Match,2020-07-11,New Zealand,Wales,0,0,Sky Stadium,600786
2020,International Test Match,2020-07-17,Australia,Fiji,0,0,,600787
2020,International Test Match,2020-07-17,Argentina,Italy,0,0,,600788
2020,International Test Match,2020-07-17,South Africa,Georgia,0,0,,600789
2020,International Test Match,2020-07-18,New Zealand,Scotland,0,0,Forsyth Barr Stadium,600790
2020,International Test Match,2020-10-11,New Zealand,Australia,16,16,Sky Stadium,600792
2020,International Test Match,2020-10-18,New Zealand,Australia,27,7,Eden Park,600794
2020,International Test Match,2020-10-23,Scotland,Georgia,48,7,Scottish Gas Murrayfield,600795
2019-20,Six Nations,2020-10-24,Ireland,Italy,50,17,Aviva Stadium,295501
2020,International Test Match,2020-10-24,France,Wales,38,21,Stade de France,600796
2019-20,Six Nations,2020-10-31,Wales,Scotland,10,14,Parc y Scarlets,295504
2019-20,Six Nations,2020-10-31,Italy,England,5,34,Stadio Olimpico,295505
2019-20,Six Nations,2020-10-31,France,Ireland,35,27,Stade de France,295506
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,5,43,Accor Stadium,592923
2020,International Test Match,2020-11-01,Uruguay,Spain,20,32,Estadio Charrua,600797
2020,International Test Match,2020-11-06,Uruguay,Spain,19,10,Estadio Charrua,600798
2020,2020 Tri Nations,2020-11-07,Australia,New Zealand,24,22,Suncorp Stadium,592924
2020,2020 Tri Nations,2020-11-14,New Zealand,Argentina,15,25,CommBank Stadium,592925
2020,International Test Match,2020-11-21,Portugal,Brazil,30,10,Estadio Nacional do Jamor,600812
2020,2020 Tri Nations,2020-11-21,Argentina,Australia,15,15,McDonald Jones Stadium,592926
2020,International Test Match,2020-11-28,Portugal,Brazil,33,13,Estadio Nacional do Jamor,600816
2020,2020 Tri Nations,2020-11-28,Argentina,New Zealand,0,38,McDonald Jones Stadium,592927
2020,2020 Tri Nations,2020-12-05,Australia,Argentina,16,16,CommBank Stadium,592928
2020-21,Six Nations,2021-02-06,Italy,France,10,50,Stadio Olimpico,593094
2020-21,Six Nations,2021-02-06,England,Scotland,6,11,Allianz Stadium,593095
2020-21,Six Nations,2021-02-07,Wales,Ireland,21,16,Principality Stadium,593096
2020-21,Six Nations,2021-02-13,England,Italy,41,18,Allianz Stadium,593097
2020-21,Six Nations,2021-02-13,Scotland,Wales,24,25,Scottish Gas Murrayfield,593098
2020-21,Six Nations,2021-02-14,Ireland,France,13,15,Aviva Stadium,593099
2020-21,Six Nations,2021-02-27,Italy,Ireland,10,48,Stadio Olimpico,593100
2020-21,Six Nations,2021-02-27,Wales,England,40,24,Principality Stadium,593101
2020-21,Six Nations,2021-03-13,Italy,Wales,7,48,Stadio Olimpico,593103
2020-21,Six Nations,2021-03-13,England,France,23,20,Allianz Stadium,593104
2020-21,Six Nations,2021-03-14,Scotland,Ireland,24,27,Scottish Gas Murrayfield,593105
2020-21,Six Nations,2021-03-20,Scotland,Italy,52,10,Scottish Gas Murrayfield,593106
2020-21,Six Nations,2021-03-20,Ireland,England,32,18,Aviva Stadium,593107
2020-21,Six Nations,2021-03-20,France,Wales,32,30,Stade de France,593108
2020-21,Six Nations,2021-03-26,France,Scotland,23,27,Stade de France,593102
2021,International Test Match,2021-05-29,Belgium,Netherlands,21,23,Stade du Pachy,600819
2021,British & Irish Lions,2021-06-26,British and Irish Lions,Japan,28,10,Scottish Gas Murrayfield,593824
2021,International Test Match,2021-07-02,South Africa,Georgia,40,9,Loftus Versfeld,600820
2021,British & Irish Lions,2021-07-03,Lions,British and Irish Lions,14,56,Ellis Park,593819
2021,International Test Match,2021-07-03,New Zealand,Tonga,102,0,Go Media Stadium,600821
2021,International Test Match,2021-07-03,Ireland,Japan,39,31,Aviva Stadium,600822
2021,International Test Match,2021-07-03,Wales,Canada,68,12,Principality Stadium,600823
2021,International Test Match,2021-07-03,Romania,Argentina,17,24,Stadionul National Arcul de Triumf,600824
2021,International Test Match,2021-07-04,England,United States of America,43,29,Allianz Stadium,600825
2021,British & Irish Lions,2021-07-07,Sharks,British and Irish Lions,7,54,Ellis Park,593820
2021,International Test Match,2021-07-07,Australia,France,23,21,Suncorp Stadium,600826
2021,British & Irish Lions,2021-07-10,Sharks,British and Irish Lions,31,71,Loftus Versfeld,593821
2021,International Test Match,2021-07-10,Samoa,Tonga,42,13,Go Media Stadium,600829
2021,International Test Match,2021-07-10,New Zealand,Fiji,57,23,Forsyth Barr Stadium,600830
2021,International Test Match,2021-07-10,Argentina,Wales,20,20,Principality Stadium,600831
2021,International Test Match,2021-07-10,England,Canada,70,14,Allianz Stadium,600832
2021,International Test Match,2021-07-10,Ireland,United States of America,71,10,Aviva Stadium,600833
2021,International Test Match,2021-07-13,Australia,France,26,28,AAMI Park,600834
2021,British & Irish Lions,2021-07-14,Emerging Springboks,British and Irish Lions,17,13,DHL Stadium,593822
2021,British & Irish Lions,2021-07-17,Stormers,British and Irish Lions,3,49,DHL Stadium,593823
2021,International Test Match,2021-07-17,Tonga,Samoa,15,37,FMG Stadium Waikato,600835
2021,International Test Match,2021-07-17,New Zealand,Fiji,60,13,FMG Stadium Waikato,600836
2021,International Test Match,2021-07-17,Australia,France,33,30,Suncorp Stadium,600837
2021,International Test Match,2021-07-17,Argentina,Wales,33,11,Principality Stadium,600838
2021,British & Irish Lions,2021-07-31,South Africa,British and Irish Lions,27,9,DHL Stadium,593817
2021,British & Irish Lions,2021-08-07,South Africa,British and Irish Lions,19,16,DHL Stadium,593818
2021,International Test Match,2021-08-07,New Zealand,Australia,33,25,Eden Park,600840
2021,Rugby Championship / Tri Nations,2021-08-14,New Zealand,Australia,57,22,Eden Park,594236
2021,Rugby Championship / Tri Nations,2021-08-14,South Africa,Argentina,32,12,Nelson Mandela Bay Stadium,594231
2021,Rugby Championship / Tri Nations,2021-08-21,Argentina,South Africa,10,29,Nelson Mandela Bay Stadium,594230
2021,International Test Match,2021-09-04,Canada,United States of America,34,21,Swilers Rugby Club,600841
2021,Rugby Championship / Tri Nations,2021-09-05,Australia,New Zealand,21,38,Optus Stadium,594237
2021,Rugby Championship / Tri Nations,2021-09-12,New Zealand,Argentina,39,0,Cbus Super Stadium,594229
2021,Rugby Championship / Tri Nations,2021-09-12,Australia,South Africa,28,26,Cbus Super Stadium,594235
2021,International Test Match,2021-09-12,United States of America,Canada,38,16,Infinity Park,600842
2021,Rugby Championship / Tri Nations,2021-09-18,Australia,South Africa,30,17,Suncorp Stadium,594234
2021,Rugby Championship / Tri Nations,2021-09-18,Argentina,New Zealand,13,36,Suncorp Stadium,594228
2021,Rugby Championship / Tri Nations,2021-09-25,New Zealand,South Africa,19,17,Queensland Country Bank Stadium,594227
2021,Rugby Championship / Tri Nations,2021-09-25,Australia,Argentina,27,8,Queensland Country Bank Stadium,594233
2021,Rugby Championship / Tri Nations,2021-10-02,Australia,Argentina,32,17,Cbus Super Stadium,594232
2021,Rugby Championship / Tri Nations,2021-10-02,South Africa,New Zealand,31,29,Cbus Super Stadium,594226
2021,International Test Match,2021-10-03,United States of America,Uruguay,19,16,Infinity Park,600843
2021,International Test Match,2021-10-09,Uruguay,United States of America,34,15,Estadio Charrua,600844
2021,International Test Match,2021-10-23,Japan,Australia,23,32,Showa Denko Dome Oita,600845
2021,International Test Match,2021-10-23,United States of America,New Zealand,14,104,FedExField,600846
2021,International Test Match,2021-10-30,Scotland,Tonga,60,14,Scottish Gas Murrayfield,600847
2021,International Test Match,2021-10-30,Wales,New Zealand,16,54,Principality Stadium,600848
2021,International Test Match,2021-11-06,Ireland,Japan,60,5,Aviva Stadium,600850
2021,International Test Match,2021-11-06,Italy,New Zealand,9,47,Stadio Olimpico,600851
2021,International Test Match,2021-11-06,Spain,Fiji,13,43,Estadio Nacional Complutense,600852
2021,International Test Match,2021-11-06,England,Tonga,69,3,Allianz Stadium,600853
2021,International Test Match,2021-11-06,Wales,South Africa,18,23,Principality Stadium,600854
2021,International Test Match,2021-11-06,France,Argentina,29,20,Stade de France,600855
2021,International Test Match,2021-11-07,Romania,Uruguay,29,14,Payanini Center,600856
2021,International Test Match,2021-11-07,Scotland,Australia,15,13,Scottish Gas Murrayfield,600857
2021,International Test Match,2021-11-13,Scotland,South Africa,15,30,Scottish Gas Murrayfield,600858
2021,International Test Match,2021-11-13,Italy,Argentina,16,37,Stadio Comunale di Monigo,600859
2021,International Test Match,2021-11-13,Ireland,New Zealand,29,20,Aviva Stadium,600860
2021,International Test Match,2021-11-13,Portugal,Japan,25,38,Estádio Municipal Cidade de Coimbra,600861
2021,International Test Match,2021-11-13,England,Australia,32,15,Allianz Stadium,600862
2021,International Test Match,2021-11-14,France,Georgia,41,15,Matmut Stadium de Gerland,600863
2021,International Test Match,2021-11-14,Wales,Fiji,38,23,Principality Stadium,600864
2021,International Test Match,2021-11-20,Russia,Chile,29,30,Yug Stadium,600865
2021,International Test Match,2021-11-20,Scotland,Japan,29,20,Scottish Gas Murrayfield,600866
2021,International Test Match,2021-11-20,Italy,Uruguay,17,10,Stadio Sergio Lanfranchi,600867
2021,International Test Match,2021-11-20,Georgia,Fiji,15,15,Estadio El Deleite,600868
2021,International Test Match,2021-11-20,England,South Africa,27,26,Allianz Stadium,600869
2021,International Test Match,2021-11-20,Romania,Tonga,32,20,Stadionul National Arcul de Triumf,600870
2021,International Test Match,2021-11-20,Wales,Australia,29,28,Principality Stadium,600871
2021,International Test Match,2021-11-20,France,New Zealand,40,25,Stade de France,600872
2021,International Test Match,2021-11-21,Ireland,Argentina,53,7,Aviva Stadium,600873
2021,International Test Match,2021-11-26,Russia,Chile,27,42,Yug Stadium,600874
2021-22,Six Nations,2022-02-05,Ireland,Wales,29,7,Aviva Stadium,595080
2021-22,Six Nations,2022-02-05,Scotland,England,20,17,Scottish Gas Murrayfield,595081
2021-22,Six Nations,2022-02-06,France,Italy,37,10,Stade de France,595082
2021-22,Six Nations,2022-02-12,Wales,Scotland,20,17,Principality Stadium,595083
2021-22,Six Nations,2022-02-12,France,Ireland,30,24,Stade de France,595084
2021-22,Six Nations,2022-02-13,Italy,England,0,33,Stadio Olimpico,595085
2021-22,Six Nations,2022-02-26,Scotland,France,17,36,Scottish Gas Murrayfield,595086
2021-22,Six Nations,2022-02-26,England,Wales,23,19,Allianz Stadium,595087
2021-22,Six Nations,2022-02-27,Ireland,Italy,57,6,Aviva Stadium,595088
2021-22,Six Nations,2022-03-11,Wales,France,9,13,Principality Stadium,595089
2021-22,Six Nations,2022-03-12,Italy,Scotland,22,33,Stadio Olimpico,595090
2021-22,Six Nations,2022-03-12,England,Ireland,15,32,Allianz Stadium,595091
2021-22,Six Nations,2022-03-19,Wales,Italy,21,22,Principality Stadium,595092
2021-22,Six Nations,2022-03-19,Ireland,Scotland,26,5,Aviva Stadium,595093
2021-22,Six Nations,2022-03-19,France,England,25,13,Stade de France,595094
2022,International Test Match,2022-06-18,Japan,Uruguay,34,15,Prince Chichibu Memorial Stadium,600875
2022,International Test Match,2022-06-25,Japan,Uruguay,43,7,Mikuni World Stadium Kitakyushu,600876
2022,International Test Match,2022-06-25,Portugal,Italy,31,38,Estádio do Restelo,600877
2022,International Test Match,2022-07-01,Romania,Italy,13,45,Stadionul National Arcul de Triumf,600878
2022,International Test Match,2022-07-02,Japan,France,23,42,City of Toyota Stadium,600879
2022,International Test Match,2022-07-02,New Zealand,Ireland,42,19,Eden Park,600880
2022,International Test Match,2022-07-02,Australia,England,30,28,Optus Stadium,600881
2022,International Test Match,2022-07-02,South Africa,Wales,32,29,Loftus Versfeld,600882
2022,International Test Match,2022-07-02,Argentina,Scotland,26,18,Estadio 23 de Agosto,600883
2022,International Test Match,2022-07-09,Japan,France,15,20,MUFG Stadium,600884
2022,International Test Match,2022-07-09,New Zealand,Ireland,12,23,Forsyth Barr Stadium,600885
2022,International Test Match,2022-07-09,Australia,England,17,25,Suncorp Stadium,600886
2022,International Test Match,2022-07-09,South Africa,Wales,12,13,Toyota Stadium,600887
2022,International Test Match,2022-07-09,Argentina,Scotland,6,25,Estadio Padre Ernesto Martearena,600888
2022,International Test Match,2022-07-09,Chile,United States of America,21,22,Estadio Santa Laura-Universidad SEK,600889
2022,International Test Match,2022-07-10,Georgia,Italy,28,19,Adjarabet Arena,600890
2022,International Test Match,2022-07-10,Uruguay,Romania,22,30,Estadio Charrua,600891
2022,International Test Match,2022-07-16,New Zealand,Ireland,22,32,Sky Stadium,600892
2022,International Test Match,2022-07-16,Australia,England,17,21,Sydney Cricket Ground,600893
2022,International Test Match,2022-07-16,Georgia,Portugal,23,14,AIA Arena,600894
2022,International Test Match,2022-07-16,South Africa,Wales,30,14,DHL Stadium,600895
2022,International Test Match,2022-07-16,United States of America,Chile,29,31,Infinity Park,600896
2022,International Test Match,2022-07-16,Argentina,Scotland,34,31,Estadio Único Madre de Ciudades,600897
2022,International Test Match,2022-07-17,Uruguay,Romania,26,20,Estadio Charrua,600898
2022,International Test Match,2022-07-23,Tonga,Hong Kong,44,22,Sunshine Coast Stadium,600899
2022,Rugby Championship / Tri Nations,2022-08-06,South Africa,New Zealand,21,10,Mbombela Stadium,595482
2022,Rugby Championship / Tri Nations,2022-08-06,Argentina,Australia,24,38,Estadio Malvinas Argentinas,595483
2022,Rugby Championship / Tri Nations,2022-08-13,South Africa,New Zealand,23,35,Ellis Park,595484
2022,Rugby Championship / Tri Nations,2022-08-13,Argentina,Australia,48,17,Estadio Bicentenario,595485
2022,Rugby Championship / Tri Nations,2022-08-27,Australia,South Africa,25,17,Adelaide Oval,595486
2022,Rugby Championship / Tri Nations,2022-08-27,New Zealand,Argentina,18,25,Apollo Projects Stadium,595487
2022,Rugby Championship / Tri Nations,2022-09-03,New Zealand,Argentina,53,3,FMG Stadium Waikato,595488
2022,Rugby Championship / Tri Nations,2022-09-03,Australia,South Africa,8,24,Allianz Stadium,595489
2022,Rugby Championship / Tri Nations,2022-09-15,Australia,New Zealand,37,39,Marvel Stadium,595490
2022,Rugby Championship / Tri Nations,2022-09-17,Argentina,South Africa,20,36,Estadio Libertadores de América,595491
2022,Rugby Championship / Tri Nations,2022-09-24,New Zealand,Australia,40,14,Eden Park,595492
2022,Rugby Championship / Tri Nations,2022-09-24,South Africa,Argentina,38,21,Hollywoodbets Kings Park,595493
2022,International Test Match,2022-10-01,Denmark,Andorra,25,10,RK Speed,600900
2022,International Test Match,2022-10-08,Serbia,Montenegro,62,0,Stadion Kralj Petar I,600901
2022,International Test Match,2022-10-08,Hungary,Czechia,21,41,Budapest Rugby Center,600902
2022,International Test Match,2022-10-15,Finland,Denmark,31,6,Myllypuro Sports Park,600903
2022,International Test Match,2022-10-15,Malta,Bulgaria,14,23,Hibernians Stadium,600904
2022,International Test Match,2022-10-22,Finland,Norway,22,3,Myllypuro Sports Park,600905
2022,International Test Match,2022-10-22,Croatia,Ukraine,22,27,Stadion Stjepan Spajic,600906
2022,International Test Match,2022-10-22,Slovenia,Malta,10,46,Stanezice Oval,600907
2022,International Test Match,2022-10-29,Japan,New Zealand,31,38,MUFG Stadium,600908
2022,International Test Match,2022-10-29,Montenegro,Bosnia-Herzegovina,18,20,Stadion Topolica,600909
2022,International Test Match,2022-10-29,Sweden,Croatia,37,17,Stockholms Stadion,600910
2022,International Test Match,2022-10-29,Scotland,Australia,15,16,Scottish Gas Murrayfield,600911
2022,International Test Match,2022-11-05,Romania,Chile,30,23,Stadionul National Arcul de Triumf,600912
2022,International Test Match,2022-11-05,Lithuania,Ukraine,39,20,Rugby Academy-Siauliai,600913
2022,International Test Match,2022-11-05,Scotland,Fiji,28,12,Scottish Gas Murrayfield,600914
2022,International Test Match,2022-11-05,Italy,Samoa,49,17,Stadio Plebiscito,600915
2022,International Test Match,2022-11-05,Sweden,Switzerland,12,69,Malmo Stadion,600916
2022,International Test Match,2022-11-05,Bulgaria,Israel,34,15,National Stadium Vasil Levski,600917
2022,International Test Match,2022-11-05,Wales,New Zealand,23,55,Principality Stadium,600918
2022,International Test Match,2022-11-05,Ireland,South Africa,19,16,Aviva Stadium,600919
2022,International Test Match,2022-11-05,Spain,Tonga,6,40,Estadio Ciudad de Malaga,600920
2022,International Test Match,2022-11-05,France,Australia,30,29,Stade de France,600921
2022,International Test Match,2022-11-06,United States of America,Kenya,68,14,The Sevens,600922
2022,International Test Match,2022-11-06,Georgia,Uruguay,34,18,Boris Paichadze Dinamo Arena,600923
2022,International Test Match,2022-11-06,England,Argentina,29,30,Allianz Stadium,600924
2022,International Test Match,2022-11-06,Portugal,Hong Kong,42,14,The Sevens,600925
2022,International Test Match,2022-11-12,Tonga,Chile,39,10,Stadionul National Arcul de Triumf,600926
2022,International Test Match,2022-11-12,Portugal,Kenya,85,0,The Sevens,600927
2022,International Test Match,2022-11-12,Ireland,Fiji,35,17,Aviva Stadium,600928
2022,International Test Match,2022-11-12,Italy,Australia,28,27,Stadio Artemio Franchi,600929
2022,International Test Match,2022-11-12,Czechia,Moldova,39,13,Stadion Mladeze,600930
2022,International Test Match,2022-11-12,Netherlands,Canada,25,37,National Rugby Centre Amsterdam,600931
2022,International Test Match,2022-11-12,Georgia,Samoa,19,20,Boris Paichadze Dinamo Arena,600932
2022,International Test Match,2022-11-12,Switzerland,Lithuania,45,6,Stade Juan-Antonio-Samaranch,600933
2022,International Test Match,2022-11-12,United States of America,Hong Kong,49,7,The Sevens,600934
2022,International Test Match,2022-11-12,Spain,Namibia,34,15,Estadio Nacional Complutense,600935
2022,International Test Match,2022-11-12,England,Japan,52,13,Allianz Stadium,600936
2022,International Test Match,2022-11-12,Wales,Argentina,20,13,Principality Stadium,600937
2022,International Test Match,2022-11-12,France,South Africa,30,26,Orange Velodrome,600938
2022,International Test Match,2022-11-13,Romania,Uruguay,16,21,Stadionul National Arcul de Triumf,600939
2022,International Test Match,2022-11-13,Scotland,New Zealand,23,31,Scottish Gas Murrayfield,600940
2022,International Test Match,2022-11-18,Hong Kong,Kenya,22,18,The Sevens,600941
2022,International Test Match,2022-11-18,United States of America,Portugal,16,16,The Sevens,600942
2022,International Test Match,2022-11-19,Tonga,Uruguay,43,19,Stadionul National Arcul de Triumf,600943
2022,International Test Match,2022-11-19,Wales,Georgia,12,13,Principality Stadium,600944
2022,International Test Match,2022-11-19,Italy,South Africa,21,63,Stadio Luigi Ferraris,600945
2022,International Test Match,2022-11-19,Canada,Namibia,37,43,National Rugby Centre Amsterdam,600946
2022,International Test Match,2022-11-19,Romania,Samoa,0,22,Stadionul National Arcul de Triumf,600947
2022,International Test Match,2022-11-19,Scotland,Argentina,52,29,Scottish Gas Murrayfield,600948
2022,International Test Match,2022-11-19,England,New Zealand,25,25,Allianz Stadium,600949
2022,International Test Match,2022-11-19,Ireland,Australia,13,10,Aviva Stadium,600950
2022,International Test Match,2022-11-20,France,Japan,35,17,Stadium de Toulouse,600951
2022,International Test Match,2022-11-26,Wales,Australia,34,39,Principality Stadium,600952
2022,International Test Match,2022-11-26,England,South Africa,13,27,Allianz Stadium,600953
2022,International Test Match,2022-12-10,Cayman Islands,Mexico,35,14,Truman Bodden Sports Complex,600954
2022-23,Six Nations,2023-02-04,Wales,Ireland,10,34,Principality Stadium,596205
2022-23,Six Nations,2023-02-04,England,Scotland,23,29,Allianz Stadium,596206
2022-23,Six Nations,2023-02-05,Italy,France,24,29,Stadio Olimpico,596207
2022-23,Six Nations,2023-02-11,Ireland,France,32,19,Aviva Stadium,596208
2022-23,Six Nations,2023-02-11,Scotland,Wales,35,7,Scottish Gas Murrayfield,596209
2022-23,Six Nations,2023-02-12,England,Italy,31,14,Allianz Stadium,596210
2022-23,Six Nations,2023-02-25,Italy,Ireland,20,34,Stadio Olimpico,596211
2022-23,Six Nations,2023-02-25,Wales,England,10,20,Principality Stadium,596212
2023,International Test Match,2023-02-25,Botswana,Eswatini,111,3,Gaborone Rugby Football Club,600955
2022-23,Six Nations,2023-02-26,France,Scotland,32,21,Stade de France,596213
2022-23,Six Nations,2023-03-11,Italy,Wales,17,29,Stadio Olimpico,596214
2022-23,Six Nations,2023-03-11,England,France,10,53,Allianz Stadium,596215
2023,International Test Match,2023-03-11,Ukraine,Switzerland,32,59,Stadion Lucko,600956
2022-23,Six Nations,2023-03-12,Scotland,Ireland,7,22,Scottish Gas Murrayfield,596216
2022-23,Six Nations,2023-03-18,Scotland,Italy,26,14,Scottish Gas Murrayfield,596217
2022-23,Six Nations,2023-03-18,France,Wales,41,28,Stade de France,596218
2022-23,Six Nations,2023-03-18,Ireland,England,29,16,Aviva Stadium,596219
2023,International Test Match,2023-03-18,Ukraine,Sweden,38,15,Stadion Stari plac,600957
2023,International Test Match,2023-03-25,Lithuania,Croatia,37,39,Rugby Academy-Siauliai,600958
2023,International Test Match,2023-04-01,Lithuania,Sweden,15,18,Rugby Academy-Siauliai,600959
2023,International Test Match,2023-04-01,Croatia,Switzerland,22,32,Gradski sportski centar Makarska,600960
2023,International Test Match,2023-04-22,Israel,Slovenia,50,7,Yizreel Rugby Club,600961
2023,International Test Match,2023-04-22,Andorra,Finland,23,31,National Stadium,600962
2023,International Test Match,2023-04-29,Latvia,Czechia,7,43,Daugava Stadium,600963
2023,International Test Match,2023-04-29,Bulgaria,Slovenia,39,19,National Stadium Vasil Levski,600964
2023,International Test Match,2023-04-29,Bosnia-Herzegovina,Serbia,12,40,Kamberovica Polje,600965
2023,International Test Match,2023-04-29,Andorra,Norway,26,6,Prada de Moles Sports Stadium,600966
2023,International Test Match,2023-05-06,Hungary,Latvia,21,22,Budapest Rugby Center,600967
2023,International Test Match,2023-05-13,Norway,Denmark,10,22,ISS Stadion,600968
2023,International Test Match,2023-06-03,Korea Republic,Malaysia,27,3,Saidina Hamzah Stadium,600969
2023,International Test Match,2023-06-03,Trinidad and Tobago,Barbados,35,27,St Mary's College Grounds,600970
2023,International Test Match,2023-06-10,Hong Kong,Malaysia,88,9,Hong Kong Football Club Stadium,600971
2023,International Test Match,2023-06-17,Hong Kong,Korea Republic,30,10,Hong Kong Football Club Stadium,600972
2023,Rugby Championship / Tri Nations,2023-07-08,South Africa,Australia,43,12,Loftus Versfeld,596592
2023,Rugby Championship / Tri Nations,2023-07-08,Argentina,New Zealand,12,41,Estadio Malvinas Argentinas,596591
2023,Rugby Championship / Tri Nations,2023-07-15,New Zealand,South Africa,35,20,Go Media Stadium,596593
2023,Rugby Championship / Tri Nations,2023-07-15,Australia,Argentina,31,34,CommBank Stadium,596594
2023,International Test Match,2023-07-22,Fiji,Tonga,36,20,Churchill Park,600973
2023,International Test Match,2023-07-22,Japan,Samoa,22,24,Daiwa House Premist Dome,600974
2023,Rugby Championship / Tri Nations,2023-07-29,Australia,New Zealand,7,38,Melbourne Cricket Ground,596595
2023,Rugby Championship / Tri Nations,2023-07-29,South Africa,Argentina,22,21,Ellis Park,596596
2023,International Test Match,2023-07-29,Samoa,Fiji,19,33,Apia Park,600975
2023,International Test Match,2023-07-29,Japan,Tonga,21,16,Hanazono Rugby Stadium,600976
2023,International Test Match,2023-07-29,Scotland,Italy,25,13,Scottish Gas Murrayfield,600977
2023,International Test Match,2023-07-29,Uruguay,Chile,26,25,Estadio Charrua,600978
2023,International Test Match,2023-08-05,Samoa,Tonga,34,9,Apia Park,600979
2023,International Test Match,2023-08-05,New Zealand,Australia,23,20,Forsyth Barr Stadium,600980
2023,International Test Match,2023-08-05,Japan,Fiji,12,35,Prince Chichibu Memorial Stadium,600981
2023,International Test Match,2023-08-05,Scotland,France,25,21,Scottish Gas Murrayfield,600982
2023,International Test Match,2023-08-05,Wales,England,20,9,Principality Stadium,600983
2023,International Test Match,2023-08-05,Romania,United States of America,17,31,Stadionul National Arcul de Triumf,600984
2023,International Test Match,2023-08-05,Uruguay,Namibia,26,18,Estadio Charrua,600985
2023,International Test Match,2023-08-05,Ireland,Italy,33,17,Aviva Stadium,600986
2023,International Test Match,2023-08-05,Argentina,South Africa,13,24,Estadio José Amalfitani,600987
2023,International Test Match,2023-08-10,Tonga,Canada,28,3,Teufaiva Stadium,600988
2023,International Test Match,2023-08-12,Georgia,Romania,56,6,Mikheil Meskhi Stadium,600989
2023,International Test Match,2023-08-12,England,Wales,19,17,Allianz Stadium,600990
2023,International Test Match,2023-08-12,France,Scotland,30,27,Stade Geoffroy-Guichard,600991
2023,International Test Match,2023-08-12,Portugal,United States of America,46,20,Estadio Do Algarve,600992
2023,International Test Match,2023-08-12,Chile,Namibia,26,28,Estadio German Becker,600993
2023,International Test Match,2023-08-15,Tonga,Canada,36,12,Teufaiva Stadium,600994
2023,International Test Match,2023-08-19,Wales,South Africa,16,52,Principality Stadium,600995
2023,International Test Match,2023-08-19,Georgia,United States of America,22,7,Mikheil Meskhi Stadium,600996
2023,International Test Match,2023-08-19,Ireland,England,29,10,Aviva Stadium,600997
2023,International Test Match,2023-08-19,Italy,Romania,57,7,Stadio Riviera delle Palme,600998
2023,International Test Match,2023-08-19,France,Fiji,34,17,Stade de la Beaujoire,600999
2023,International Test Match,2023-08-25,New Zealand,South Africa,7,35,Allianz Stadium,601000
2023,International Test Match,2023-08-26,England,Fiji,22,30,Allianz Stadium,601001
2023,International Test Match,2023-08-26,Scotland,Georgia,33,6,Scottish Gas Murrayfield,601002
2023,International Test Match,2023-08-26,Italy,Japan,42,21,Stadio Comunale di Monigo,601003
2023,International Test Match,2023-08-26,Spain,Argentina,3,62,Civitas Metropolitano,601004
2023,International Test Match,2023-08-26,Ireland,Samoa,17,13,Stade Jean Dauger,601005
2023,International Test Match,2023-08-27,France,Australia,41,17,Stade de France,601006
